"UNIT","GEO","TIME","DAYSWEEK","SEX","ACL00","Value","Flag and Footnotes"
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Ironing","0:08",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Handicraft and producing textiles and other care for textiles","0:03",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Gardening; other pet care","0:15",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Tending domestic animals","0:01",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Caring for pets","0:04",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Walking the dog","0:05",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Construction and repairs ","0:09",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Shopping and services","0:28",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Childcare, except teaching, reading and talking","0:16",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Teaching, reading and talking with child","0:16",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Household management and help family member","0:05",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Leisure, social and associative life","4:55",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Organisational work","0:05",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Informal help to other households","0:05",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Participatory activities","0:04",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Visiting and feasts","0:36",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Other social life","0:28",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Entertainment and culture","0:08",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Resting","0:11",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Walking and hiking","0:14",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Sports and outdoor activities except walking and hiking","0:18",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Computer games","0:04",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Computing","0:11",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Hobbies and games except computing and computer games","0:11",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Reading books","0:05",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Reading, except books","0:18",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","TV and video","1:56",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Radio and music","0:02",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Unspecified leisure ","0:00",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Travel except travel related to jobs","1:10",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Travel to/from work","0:23",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Travel related to study","0:02",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Travel related to shopping and services","0:11",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Transporting a child","0:04",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Travel related to other household purposes","0:02",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Travel related to leisure, social and associative life","0:23",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Unspecified travel","0:02",""
"Time spent (hh:mm)","Austria","2010","All days of the week","Total","Unspecified time use","0:04",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Personal care","11:01",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Sleep","8:29",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Eating","1:34",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Other and/or unspecified personal care","0:58",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Employment, related activities and travel as part of/during main and second job","3:17",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Main and second job and related travel","3:15",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Activities related to employment and unspecified employment","0:02",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Study","0:10",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","School and university except homework","0:05",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Homework","0:04",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Free time study","0:01",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Household and family care","3:36",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Food management except dish washing","0:55",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Dish washing","0:17",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Cleaning dwelling","0:25",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Household upkeep except cleaning dwelling","0:15",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Laundry","0:05",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Ironing","0:03",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Handicraft and producing textiles and other care for textiles","0:01",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Gardening; other pet care","0:10",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Tending domestic animals","0:02",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Caring for pets","0:01",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Walking the dog","0:06",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Construction and repairs ","0:06",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Shopping and services","0:27",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Childcare, except teaching, reading and talking","0:20",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Teaching, reading and talking with child","0:17",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Household management and help family member","0:03",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Leisure, social and associative life","4:50",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Organisational work","0:01",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Informal help to other households","0:10",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Participatory activities","0:10",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Visiting and feasts","0:25",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Other social life","0:18",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Entertainment and culture","0:02",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Resting","0:18",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Walking and hiking","0:13",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Sports and outdoor activities except walking and hiking","0:09",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Computer games","0:04",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Computing","0:21",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Hobbies and games except computing and computer games","0:06",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Reading books","0:12",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Reading, except books","0:08",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","TV and video","2:08",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Radio and music","0:05",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Unspecified leisure ","0:00",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Travel except travel related to jobs","1:07",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Travel to/from work","0:21",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Travel related to study","0:02",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Travel related to shopping and services","0:14",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Transporting a child","0:04",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Travel related to other household purposes","0:02",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Travel related to leisure, social and associative life","0:21",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Unspecified travel","0:00",""
"Time spent (hh:mm)","Poland","2010","All days of the week","Total","Unspecified time use","0:03",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Personal care","11:39",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Sleep","8:42",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Eating","1:47",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Other and/or unspecified personal care","1:11",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Employment, related activities and travel as part of/during main and second job","3:25",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Main and second job and related travel","3:22",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Activities related to employment and unspecified employment","0:03",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Study","0:06",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","School and university except homework","0:04",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Homework","0:02",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Free time study","0:00",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Household and family care","3:38",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Food management except dish washing","0:56",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Dish washing","0:23",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Cleaning dwelling","0:23",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Household upkeep except cleaning dwelling","0:24",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Laundry","0:11",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Ironing","0:08",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Handicraft and producing textiles and other care for textiles","0:04",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Gardening; other pet care","0:12",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Tending domestic animals","0:11",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Caring for pets","0:01",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Walking the dog","0:01",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Construction and repairs ","0:05",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Shopping and services","0:18",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Childcare, except teaching, reading and talking","0:11",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Teaching, reading and talking with child","0:06",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Household management and help family member","0:03",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Leisure, social and associative life","4:13",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Organisational work","0:00",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Informal help to other households","0:03",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Participatory activities","0:09",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Visiting and feasts","0:12",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Other social life","0:20",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Entertainment and culture","0:02",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Resting","0:32",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Walking and hiking","0:08",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Sports and outdoor activities except walking and hiking","0:02",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Computer games","0:01",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Computing","0:14",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Hobbies and games except computing and computer games","0:03",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Reading books","0:04",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Reading, except books","0:06",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","TV and video","2:13",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Radio and music","0:02",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Unspecified leisure ","0:00",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Travel except travel related to jobs","1:00",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Travel to/from work","0:23",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Travel related to study","0:01",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Travel related to shopping and services","0:11",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Transporting a child","0:01",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Travel related to other household purposes","0:00",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Travel related to leisure, social and associative life","0:12",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Unspecified travel","0:03",""
"Time spent (hh:mm)","Romania","2010","All days of the week","Total","Unspecified time use","0:09",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Personal care","10:40",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Sleep","8:28",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Eating","1:23",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Other and/or unspecified personal care","0:49",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Employment, related activities and travel as part of/during main and second job","2:50",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Main and second job and related travel","2:48",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Activities related to employment and unspecified employment","0:02",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Study","0:14",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","School and university except homework","0:07",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Homework","0:05",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Free time study","0:02",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Household and family care","3:05",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Food management except dish washing","0:36",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Dish washing","0:09",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Cleaning dwelling","0:17",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Household upkeep except cleaning dwelling","0:25",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Laundry","0:06",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Ironing","0:02",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Handicraft and producing textiles and other care for textiles","0:05",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Gardening; other pet care","0:07",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Tending domestic animals","0:00",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Caring for pets","0:03",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Walking the dog","0:07",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Construction and repairs ","0:13",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Shopping and services","0:28",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Childcare, except teaching, reading and talking","0:15",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Teaching, reading and talking with child","0:06",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Household management and help family member","0:07",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Leisure, social and associative life","5:49",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Organisational work","0:04",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Informal help to other households","0:13",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Participatory activities","0:03",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Visiting and feasts","0:27",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Other social life","0:21",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Entertainment and culture","0:06",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Resting","0:15",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Walking and hiking","0:13",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Sports and outdoor activities except walking and hiking","0:22",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Computer games","0:06",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Computing","0:26",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Hobbies and games except computing and computer games","0:13",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Reading books","0:12",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Reading, except books","0:29",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","TV and video","2:10",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Radio and music","0:09",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Unspecified leisure ","0:01",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Travel except travel related to jobs","1:22",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Travel to/from work","0:16",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Travel related to study","0:02",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Travel related to shopping and services","0:13",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Transporting a child","0:03",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Travel related to other household purposes","0:03",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Travel related to leisure, social and associative life","0:33",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Unspecified travel","0:02",""
"Time spent (hh:mm)","Finland","2010","All days of the week","Total","Unspecified time use","0:11",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Personal care","10:33",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Sleep","8:15",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Eating","1:23",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Other and/or unspecified personal care","0:54",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Employment, related activities and travel as part of/during main and second job","3:04",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Main and second job and related travel","2:58",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Activities related to employment and unspecified employment","0:06",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Study","0:11",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","School and university except homework","0:04",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Homework","0:05",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Free time study","0:03",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Household and family care","3:02",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Food management except dish washing","0:37",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Dish washing","0:11",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Cleaning dwelling","0:17",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Household upkeep except cleaning dwelling","0:13",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Laundry","0:06",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Ironing","0:04",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Handicraft and producing textiles and other care for textiles","0:02",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Gardening; other pet care","0:07",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Tending domestic animals","0:01",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Caring for pets","0:03",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Walking the dog","0:08",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Construction and repairs ","0:07",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Shopping and services","0:32",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Childcare, except teaching, reading and talking","0:16",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Teaching, reading and talking with child","0:08",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Household management and help family member","0:11",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Leisure, social and associative life","4:59",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Organisational work","0:03",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Informal help to other households","0:08",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Participatory activities","0:05",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Visiting and feasts","0:22",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Other social life","0:24",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Entertainment and culture","0:09",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Resting","0:18",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Walking and hiking","0:06",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Sports and outdoor activities except walking and hiking","0:12",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Computer games","0:07",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Computing","0:20",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Hobbies and games except computing and computer games","0:09",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Reading books","0:06",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Reading, except books","0:11",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","TV and video","2:15",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Radio and music","0:04",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Unspecified leisure ","0:00",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Travel except travel related to jobs","2:11",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Travel to/from work","0:22",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Travel related to study","0:05",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Travel related to shopping and services","0:14",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Transporting a child","0:02",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Travel related to other household purposes","0:03",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Travel related to leisure, social and associative life","0:30",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Unspecified travel","0:09",""
"Time spent (hh:mm)","United Kingdom","2010","All days of the week","Total","Unspecified time use","0:46",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Personal care","10:21",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Sleep","8:01",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Eating","1:25",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Other and/or unspecified personal care","0:55",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Employment, related activities and travel as part of/during main and second job","3:13",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Main and second job and related travel","3:13",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Activities related to employment and unspecified employment","0:01",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Study","0:12",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","School and university except homework","0:07",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Homework","0:04",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Free time study","0:01",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Household and family care","3:07",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Food management except dish washing","0:36",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Dish washing","0:14",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Cleaning dwelling","0:25",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Household upkeep except cleaning dwelling","0:12",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Laundry","0:07",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Ironing","0:02",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Handicraft and producing textiles and other care for textiles","0:05",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Gardening; other pet care","0:08",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Tending domestic animals","0:00",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Caring for pets","0:02",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Walking the dog","0:05",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Construction and repairs ","0:16",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Shopping and services","0:26",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Childcare, except teaching, reading and talking","0:19",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Teaching, reading and talking with child","0:08",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Household management and help family member","0:02",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Leisure, social and associative life","5:43",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Organisational work","0:03",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Informal help to other households","0:11",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Participatory activities","0:03",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Visiting and feasts","0:35",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Other social life","0:43",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Entertainment and culture","0:11",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Resting","0:13",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Walking and hiking","0:13",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Sports and outdoor activities except walking and hiking","0:18",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Computer games","0:04",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Computing","0:21",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Hobbies and games except computing and computer games","0:10",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Reading books","0:12",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Reading, except books","0:21",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","TV and video","1:59",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Radio and music","0:04",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Unspecified leisure ","0:03",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Travel except travel related to jobs","1:24",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Travel to/from work","0:24",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Travel related to study","0:01",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Travel related to shopping and services","0:14",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Transporting a child","0:04",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Travel related to other household purposes","0:02",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Travel related to leisure, social and associative life","0:33",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Unspecified travel","0:01",""
"Time spent (hh:mm)","Norway","2010","All days of the week","Total","Unspecified time use","0:05",""
"Time spent (hh:mm)","Serbia","2010","All days of the week","Total","Personal care","10:59",""
"Time spent (hh:mm)","Serbia","2010","All days of the week","Total","Sleep","8:11",""
